City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Cedar Rapids/Iowa City,Burger,1,4.9,820
Cedar Rapids/Iowa City,Chinese,1,4.2,347
Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",1,4.2,220
Cedar Rapids/Iowa City,Indian,2,4.15,346
Cedar Rapids/Iowa City,International,1,4.3,428
Cedar Rapids/Iowa City,"Italian, Pizza",1,4.1,365
Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",1,4.0,380
Cedar Rapids/Iowa City,Mexican,1,4.1,190
Cedar Rapids/Iowa City,Pizza,1,4.3,485
Cedar Rapids/Iowa City,"Pizza, Sandwich",1,4.7,433
Chandigarh,"American, Cafe",1,4.2,676
Chandigarh,"American, Tex-Mex",1,4.3,228
Chandigarh,"Bakery, Desserts, Cafe",1,4.1,698
Chandigarh,"Burger, Fast Food",1,4.5,249
Chandigarh,"Burger, Fast Food, Desserts, Beverages",1,4.0,265
Chandigarh,"Cafe, Bakery",1,4.1,397
Chandigarh,"Continental, Italian, Thai, Finger Food",1,4.0,428
Chandigarh,"Desserts, American",1,4.0,356
Chandigarh,Italian,1,4.4,817
Chandigarh,"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",1,4.1,300
Chandigarh,"Mexican, American, Italian",1,4.3,970
Chandigarh,"Mexican, Fast Food",1,4.2,252
Chandigarh,"Mughlai, North Indian",1,3.3,86
Chandigarh,North Indian,1,3.8,982
Chandigarh,"North Indian, Chinese",1,4.5,1450
Chandigarh,"North Indian, Chinese, Continental, Italian, Burger",1,3.4,502
Chandigarh,"North Indian, Chinese, Continental, Pizza",1,3.7,665
Chandigarh,"North Indian, Continental, Asian",1,4.0,1022
Chatham-Kent,"Japanese, Sushi",1,3.7,176
Chennai,"Biryani, North Indian",1,3.8,1317
Chennai,"Cafe, Continental",1,4.1,1004
Chennai,"Cafe, European",1,4.2,191
Chennai,"Continental, Cafe, Italian, Desserts",1,4.4,1504
Chennai,"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",1,4.5,1210
Chennai,"European, Cafe, Italian",1,4.3,1607
Chennai,"European, Italian, Desserts",1,4.2,1810
Chennai,Italian,1,4.6,1510
Chennai,"Italian, Mexican, Chinese, Thai, North Indian",1,4.0,1820
Chennai,"Mexican, American, Tex-Mex, Burger",1,4.8,1262
Chennai,North Indian,1,4.6,1753
Chennai,"North Indian, Chinese",1,4.0,2272
Chennai,"North Indian, Chinese, Arabian",1,3.8,519
Chennai,"North Indian, Continental",1,4.4,3848
Chennai,"North Indian, European, Mediterranean",1,4.9,859
Chennai,"North Indian, Mediterranean, Asian, Arabian",1,4.6,1267
Chennai,"North Indian, Mughlai, Chinese, South Indian",3,4.3,2228
Chennai,"South Indian, Chettinad",1,4.2,1714
Clatskanie,"American, Breakfast, Desserts",1,4.3,96
Cochrane,"Asian, Japanese",1,3.1,6
Coimbatore,"Bakery, Desserts",1,4.9,200
Coimbatore,Cafe,1,3.8,124
Coimbatore,"Cafe, Continental, Fast Food",1,4.6,202
Coimbatore,"Cafe, Fast Food",1,4.0,132
Coimbatore,Chinese,1,4.1,243
Coimbatore,"Continental, Chinese, Thai, Malaysian, North Indian",1,3.8,221
Coimbatore,"Continental, Fast Food, Desserts, Indian",1,3.8,24
Coimbatore,"Desserts, Ice Cream",1,4.3,161
Coimbatore,Fast Food,1,4.3,147
Coimbatore,"Italian, North Indian, Desserts",1,4.0,215
Coimbatore,"North Indian, Biryani",1,4.2,299
Coimbatore,"North Indian, Chinese, Italian, Mexican",1,4.0,203
Coimbatore,"North Indian, Chinese, Street Food",1,4.2,221
Coimbatore,"North Indian, Continental",1,3.9,85
Coimbatore,"North Indian, European, Mediterranean",1,4.4,505
Coimbatore,"Parsi, North Indian",1,4.2,40
Coimbatore,Pizza,1,3.5,274
Coimbatore,"South Indian, Biryani",1,4.5,380
Coimbatore,"South Indian, Chettinad, North Indian",1,3.9,318
Coimbatore,"South Indian, North Indian, Chinese",1,4.3,225
Colombo,"American, Chinese, North Indian",1,2.5,93
Colombo,"American, Fast Food, Steak, Beverages",1,4.2,286
Colombo,"American, Steak",1,4.0,166
Colombo,"Cafe, Fast Food, Beverages",1,3.8,81
Colombo,"Cafe, Italian",1,3.6,83
Colombo,"Cafe, Sri Lankan, Continental, American",1,4.0,209
Colombo,Chinese,1,3.4,118
Colombo,"Continental, American",1,4.1,58
Colombo,"Continental, American, Seafood",1,4.2,171
Colombo,"Desserts, Bakery",1,4.2,49
Colombo,"Desserts, Ice Cream",1,4.1,122
Colombo,Fast Food,1,4.1,199
Colombo,"Italian, Cafe, Desserts",1,3.7,157
Colombo,"Juices, Desserts",1,4.5,146
Colombo,"Malaysian, North Indian, Sri Lankan",1,3.5,80
Colombo,"Middle Eastern, Arabian",1,4.2,158
